avg_sentence_length,lexical_density,flesch_index,syntactic_depth,accuracy
345.0,0.37,-316.64,20.29,1
1829.0,0.32,-1861.31,29.98,1
3963.0,0.14,-4014.9,23.31,1
1078.0,0.23,-1076.45,46.87,1
245.0,0.6,-230.16,24.5,1
1954.0,0.3,-1976.59,35.53,1
1489.0,0.18,-1494.82,55.15,1
112.0,0.62,-55.19,56.0,1
867.0,0.3,-895.9,41.29,1
230.0,0.57,-200.9,25.56,1
705.0,0.4,-703.86,30.65,1
191.0,0.58,-169.6,17.36,1
200.0,0.45,-183.01,11.11,1
121.0,0.7,-85.83,15.12,1
549.0,0.33,-546.48,32.29,1
1025.0,0.24,-1042.45,31.06,1
363.0,0.55,-356.86,24.2,0
135.0,0.57,-87.47,22.5,1
9632.0,0.06,-9754.21,45.65,1
214.0,0.57,-205.97,30.57,1
291.0,0.45,-294.81,32.33,1
1672.0,0.28,-1695.37,24.23,1
8462.0,0.12,-8580.76,23.18,1
187.0,0.55,-197.94,23.38,1
1690.0,0.11,-1671.76,73.48,1
2369.0,0.27,-2393.18,30.37,1
50.0,0.66,32.27,16.67,0
486.0,0.47,-459.26,54.0,0
492.0,0.41,-463.59,41.0,1
366.0,0.45,-346.41,40.67,1
338.0,0.44,-303.48,13.0,1
90.0,0.6,-36.15,45.0,1
264.0,0.41,-229.66,14.67,1
213.0,0.53,-183.82,21.3,1
189.0,0.56,-162.33,37.8,1
592.0,0.42,-594.13,19.73,1
169.0,0.5,-123.94,15.36,1
422.0,0.33,-411.24,30.14,1
4077.0,0.13,-4119.69,18.28,1
1220.0,0.37,-1236.33,43.57,1
4423.0,0.15,-4497.14,42.12,1
1496.0,0.34,-1505.25,31.17,1
2116.0,0.17,-2130.68,46.0,1
2790.0,0.28,-2841.88,30.66,1
1690.0,0.24,-1715.36,51.21,1
80.0,0.71,-26.94,16.0,1
95.0,0.75,-56.86,47.5,1
526.0,0.44,-526.47,32.88,0
1534.0,0.2,-1536.99,33.35,1
231.0,0.46,-220.39,77.0,1
267.0,0.4,-224.64,89.0,1
124.0,0.6,-85.8,31.0,0
863.0,0.21,-848.46,23.32,1
753.0,0.33,-748.48,30.12,0
212.0,0.56,-190.22,30.29,1
207.0,0.53,-177.47,25.88,0
1665.0,0.22,-1685.08,35.43,1
275.0,0.52,-264.71,25.0,1
3718.0,0.11,-3786.74,39.55,1
3305.0,0.1,-3347.71,37.99,1
148.0,0.68,-120.32,37.0,1
273.0,0.59,-261.3,22.75,1
173.0,0.42,-126.77,19.22,1
785.0,0.15,-796.14,15.1,0
303.0,0.31,-294.92,13.17,1
737.0,0.32,-736.26,52.64,1
1438.0,0.26,-1450.0,68.48,1
2322.0,0.09,-2335.64,47.39,1
561.0,0.34,-540.45,62.33,1
267.0,0.48,-256.96,19.07,1
5471.0,0.16,-5559.1,47.57,1
57239.0,0.03,-58076.74,32.05,0
